mod,biome_id,biome_name,description,description_source,id_source
BIOMES_O_PLENTY,biomesoplenty:aspen_glade,Aspen Glade,A cool grove biome centered on aspen trees and light undergrowth; present in the installed 1.21.1 BOP jar.,https://github.com/Glitchfiend/BiomesOPlenty,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.1/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:auroral_garden,Auroral Garden,A biome full of rainbow birch and fir trees. The grass is frosted and icy irises spawn here. No hostile mobs spawn here either.,https://biomesoplenty.fandom.com/wiki/Auroral_Garden,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:bayou,Bayou,"A murky biome with willow trees, based on wetlands from the southern USA. Cattails also spawn around the shore, and ferns cover the ground.",https://biomesoplenty.fandom.com/wiki/Bayou,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:bog,Bog,"A biome based on the Cranberry Bog. It has lots of bush plants, maple and spruce scrub, as well as reeds.",https://biomesoplenty.fandom.com/wiki/Bog,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:cold_desert,Cold Desert,"A wasteland comprised of gravel and powder snow. Some desert grass spawns here, but no passive mobs do.",https://biomesoplenty.fandom.com/wiki/Cold_Desert,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:coniferous_forest,Coniferous Forest,"A forest comprised of tall fir trees. Toadstools and various vanilla flowers such as dandelions, cornflowers and poppies litter the surface.",https://biomesoplenty.fandom.com/wiki/Coniferous_Forest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:crag,Crag,"Variant biome of the highland with cobblestone, andesite, and stone mixed into the grassy surface. It also has steeper and more jagged terrain.",https://biomesoplenty.fandom.com/wiki/Crag,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:crystalline_chasm,Crystalline Chasm,"A biome with frequent rose quartz spires and crystals covering the landscape, and a pink fog color.",https://biomesoplenty.fandom.com/wiki/Crystalline_Chasm,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:dead_forest,Dead Forest,"A sparsely populated forest, with mainly dead trees and spruce trees. Not much grass spawns in this biome either, and no passive mobs spawn.",https://biomesoplenty.fandom.com/wiki/Dead_Forest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:dryland,Dryland,"A dry landscape with brush oak trees and bushes. Bush plants also cover the surface, and the ground is comprised of both sand and grass blocks.",https://biomesoplenty.fandom.com/wiki/Dryland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:dune_beach,Dune Beach,"A vanilla beach biome, but covered in dune grass and sea oats. Rooted sand occasionally replaces the sand in the biome.",https://biomesoplenty.fandom.com/wiki/Dune_Beach,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:end_corruption,End Corruption,"A corrupt biome with patches of missing textures, chunks of random ones, and obsidian towers scattered throughout.",https://biomesoplenty.fandom.com/wiki/End_Corruption,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:end_reef,End Reef,"A dull ocean-like biome with floating Wispjelly and tons of dead coral, white sand, and barnacles.",https://biomesoplenty.fandom.com/wiki/End_Reef,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:end_wilds,End Wilds,"A lush, mystical field, full of plant life and Empyreal Trees growing under Algal End Stone.",https://biomesoplenty.fandom.com/wiki/End_Wilds,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:erupting_inferno,Erupting Inferno,"An active volcanic biome made of brimstone, with magma blocks, lava and brimstone fumaroles generating.",https://biomesoplenty.fandom.com/wiki/Erupting_Inferno,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:field,Field,"A pretty flatland with small spruce trees and oak bushes, and a variety of flowers including lilacs, rose bushes and sunflowers.",https://biomesoplenty.fandom.com/wiki/Field,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:fir_clearing,Fir Clearing,Variant of the coniferous forest with sparsely spread small fir trees.,https://biomesoplenty.fandom.com/wiki/Fir_Clearing,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:floodplain,Floodplain,"A lush wetland with watergrass, orange cosmos, lily pads, and small dripleaves. Brush oaks and bushes spawn here as well.",https://biomesoplenty.fandom.com/wiki/Floodplain,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:forested_field,Forested Field,Variant of the Field with more trees and less flowers.,https://biomesoplenty.fandom.com/wiki/Forested_Field,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
